episode	score
0	26
1	40
2	25
3	33
4	34
5	43
6	45
7	31
8	44
9	35
10	25
11	44
12	42
13	46
14	35
15	26
16	31
17	51
18	26
19	45
20	27
21	33
22	35
23	63
24	27
25	26
26	28
27	26
28	30
29	40
30	51
31	37
32	33
33	46
34	28
35	49
36	29
37	28
38	26
39	36
40	29
41	43
42	30
43	33
44	32
45	29
46	37
47	31
48	28
49	26
50	35
51	29
52	31
53	35
54	42
55	31
56	22
57	52
58	28
59	27
60	30
61	30
62	32
63	25
64	38
65	39
66	37
67	42
68	37
69	45
70	37
71	31
72	38
73	28
74	51
75	27
76	43
77	29
78	33
79	31
80	28
81	42
82	37
83	27
84	50
85	29
86	28
87	34
88	31
89	28
90	25
91	25
92	41
93	26
94	71
95	36
96	35
97	24
98	27
99	30
100	34
101	40
102	34
103	40
104	43
105	31
106	46
107	31
108	46
109	31
110	55
111	38
112	40
113	40
114	47
115	45
116	35
117	28
118	36
119	39
120	41
121	50
122	35
123	31
124	24
125	36
126	34
127	28
128	30
129	44
130	26
131	28
132	35
133	39
134	49
135	39
136	39
137	34
138	34
139	35
140	24
141	35
142	29
143	35
144	42
145	48
146	33
147	57
148	37
149	25
150	30
151	28
152	44
153	31
154	26
155	41
156	47
157	35
158	28
159	65
160	36
161	45
162	35
163	29
164	46
165	39
166	36
167	35
168	33
169	25
170	31
171	40
172	29
173	37
174	31
175	28
176	42
177	39
178	48
179	33
180	28
181	31
182	41
183	41
184	36
185	43
186	52
187	63
188	37
189	48
190	40
191	32
192	46
193	40
194	41
195	31
196	34
197	49
198	24
199	37
200	44
201	35
202	29
203	31
204	25
205	30
206	57
207	28
208	42
209	27
210	34
211	27
212	46
213	44
214	58
215	34
216	36
217	34
218	48
219	25
220	40
221	30
222	33
223	34
224	28
225	47
226	39
227	29
228	41
229	40
230	34
231	26
232	50
233	24
234	42
235	35
236	67
237	37
238	31
239	33
240	44
241	28
242	39
243	37
244	26
245	75
246	31
247	28
248	28
249	52
250	38
251	33
252	36
253	47
254	35
255	27
256	40
257	49
258	36
259	57
260	34
261	32
262	34
263	36
264	26
265	31
266	52
267	29
268	28
269	33
270	38
271	36
272	26
273	33
274	47
275	47
276	36
277	38
278	50
279	60
280	35
281	42
282	31
283	48
284	35
285	39
286	43
287	41
288	59
289	29
290	65
291	37
292	44
293	46
294	37
295	53
296	53
297	50
298	41
299	37
300	35
301	42
302	59
303	38
304	63
305	61
306	49
307	43
308	38
309	51
310	44
311	38
312	37
313	38
314	48
315	43
316	47
317	85
318	43
319	52
320	34
321	45
322	37
323	33
324	38
325	43
326	51
327	36
328	42
329	42
330	77
331	44
332	36
333	33
334	60
335	50
336	42
337	65
338	51
339	38
340	41
341	51
342	39
343	49
344	63
345	36
346	42
347	36
348	31
349	64
350	38
351	42
352	58
353	91
354	60
355	40
356	41
357	48
358	69
359	44
360	50
361	41
362	64
363	57
364	40
365	53
366	55
367	48
368	78
369	35
370	74
371	40
372	60
373	43
374	72
375	56
376	35
377	39
378	42
379	43
380	45
381	48
382	32
383	41
384	42
385	48
386	45
387	39
388	38
389	33
390	45
391	56
392	81
393	38
394	70
395	71
396	50
397	54
398	63
399	55
400	56
401	46
402	36
403	62
404	79
405	55
406	48
407	49
408	80
409	74
410	66
411	33
412	44
413	63
414	49
415	50
416	51
417	51
418	58
419	47
420	69
421	83
422	43
423	55
424	45
425	51
426	35
427	46
428	54
429	67
430	36
431	47
432	58
433	56
434	44
435	59
436	73
437	50
438	69
439	53
440	41
441	50
442	50
443	55
444	53
445	42
446	82
447	68
448	109
449	56
450	48
451	71
452	90
453	150
454	40
455	78
456	56
457	65
458	57
459	54
460	81
461	58
462	41
463	58
464	112
465	47
466	52
467	65
468	62
469	73
470	124
471	54
472	51
473	81
474	82
475	85
476	79
477	84
478	83
479	67
480	69
481	83
482	60
483	91
484	94
485	77
486	51
487	48
488	59
489	61
490	48
491	58
492	81
493	53
494	101
495	66
496	70
497	58
498	96
499	65
500	79
501	99
502	92
503	50
504	76
505	61
506	105
507	89
508	113
509	49
510	45
511	80
512	71
513	69
514	69
515	68
516	64
517	156
518	92
519	91
520	92
521	110
522	84
523	79
524	73
525	74
526	104
527	56
528	51
529	78
530	84
531	81
532	75
533	89
534	65
535	126
536	55
537	126
538	126
539	72
540	84
541	99
542	105
543	64
544	55
545	53
546	73
547	72
548	47
549	62
550	91
551	168
552	83
553	67
554	99
555	71
556	68
557	78
558	60
559	84
560	114
561	128
562	78
563	103
564	54
565	50
566	61
567	86
568	73
569	65
570	71
571	88
572	151
573	138
574	104
575	55
576	90
577	94
578	241
579	51
580	117
581	95
582	83
583	79
584	61
585	48
586	80
587	87
588	116
589	98
590	57
591	230
592	149
593	217
594	161
595	217
596	82
597	186
598	108
599	262
600	97
601	185
602	100
603	83
604	216
605	225
606	169
607	249
608	231
609	60
610	99
611	122
612	142
613	154
614	146
615	150
616	263
617	160
618	189
619	120
620	250
621	203
622	56
623	111
624	73
625	90
626	184
627	130
628	154
629	157
630	127
631	117
632	217
633	327
634	186
635	77
636	76
637	178
638	428
639	188
640	80
641	221
642	157
643	201
644	126
645	308
646	107
647	89
648	259
649	151
650	170
651	105
652	339
653	268
654	230
655	88
656	169
657	223
658	162
659	163
660	230
661	166
662	296
663	123
664	514
665	251
666	466
667	128
668	178
669	157
670	198
671	202
672	223
673	187
674	86
675	53
676	527
677	141
678	721
679	191
680	610
681	136
682	320
683	319
684	95
685	182
686	480
687	515
688	504
689	270
690	343
691	695
692	526
693	223
694	387
695	405
696	527
697	590
698	843
699	254
700	165
701	297
702	439
703	182
704	1896
705	127
706	570
707	459
708	424
709	685
710	531
711	1488
712	924
713	794
714	1314
715	492
716	361
717	874
718	153
719	327
720	298
721	259
722	1245
723	112
724	337
725	333
726	1048
727	216
728	105
729	1337
730	342
731	1438
732	376
733	639
734	1951
735	369
736	1438
737	1012
738	222
739	1951
740	1951
741	1001
742	1354
743	646
744	515
745	403
746	1951
747	1871
748	738
749	715
750	1040
751	982
752	89
753	1582
754	1951
755	777
756	979
757	67
758	438
759	332
760	320
761	687
762	1590
763	825
764	75
765	1951
766	102
767	581
768	1285
769	1041
770	1933
771	1574
772	184
773	604
774	259
775	1951
776	1184
777	376
778	175
779	126
780	684
781	87
782	1804
783	505
784	1951
785	495
786	1951
787	1926
788	1027
789	626
790	933
791	1951
792	1951
793	166
794	1951
795	1951
796	116
797	518
798	127
799	1951
800	694
801	1951
802	1951
803	1951
804	1024
805	147
806	794
807	146
808	1480
809	1951
810	1951
811	1951
812	1082
813	1951
814	1951
815	1951
816	1951
817	1585
818	1951
819	1951
820	1951
821	1951
822	1951
823	1951
824	643
825	202
826	959
827	1677
828	1951
829	148
830	1903
831	398
832	1693
833	1951
834	1951
835	1744
836	1951
837	1951
838	1951
839	1951
840	310
841	1428
842	1937
843	1951
844	1951
845	1951
846	1951
847	1951
848	1951
849	1951
850	1436
851	997
852	1729
853	839
854	1951
855	437
856	1951
857	86
858	101
859	257
860	1951
861	1951
862	1480
863	1951
864	1951
865	1138
866	1951
867	1431
868	1951
869	1951
870	1026
871	1951
872	1951
873	1951
874	1884
875	1951
